                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  19.55,                 2.2073,                 3.1955,                0.82815,                0.74721,                 0.8341,                0.34821,                 4.8517,                 1.2252,                 1.8993,               0.003318,               0.003318,               0.003318
                      1,                 4.8736,                 1.1984,                 1.7476,                0.89372,                0.82984,                0.90556,                0.42054,                 3.2937,                 1.0242,                 1.5401,              0.0066294,              0.0066294,              0.0066294
                      2,                  4.079,                 1.1018,                 1.5823,                0.89119,                0.85263,                0.91985,                0.43757,                 2.8382,                0.92811,                 1.4322,              0.0099188,              0.0099188,              0.0099188
                      3,                 3.5303,                 1.0069,                 1.5147,                0.91986,                0.88524,                0.93749,                0.48044,                 2.4032,                0.81445,                 1.3999,               0.009901,               0.009901,               0.009901
                      4,                 3.0908,                0.87483,                 1.4563,                0.91917,                0.88732,                0.94262,                0.45341,                 2.4946,                0.83726,                 1.4038,               0.009901,               0.009901,               0.009901
                      5,                 2.8674,                0.82022,                 1.4393,                0.92359,                 0.9004,                0.94985,                  0.457,                 2.5258,                0.76468,                 1.4145,               0.009868,               0.009868,               0.009868
                      6,                 2.7784,                0.78695,                 1.4256,                0.93512,                0.89988,                0.95322,                0.47148,                  2.322,                0.71592,                 1.3794,               0.009835,               0.009835,               0.009835
                      7,                 2.6749,                0.76496,                 1.3953,                0.92871,                0.90137,                0.94951,                0.47192,                 2.2374,                0.72963,                 1.3606,               0.009802,               0.009802,               0.009802
                      8,                 2.4132,                0.75443,                  1.363,                0.93819,                0.91405,                 0.9595,                0.50469,                 1.9659,                 0.6843,                 1.3234,               0.009769,               0.009769,               0.009769
                      9,                 2.3608,                0.74246,                 1.3576,                 0.9351,                0.90968,                0.95596,                0.46797,                 2.1913,                 0.6981,                 1.3522,               0.009736,               0.009736,               0.009736
                     10,                 2.3343,                0.72936,                 1.3373,                0.94002,                0.91272,                0.96079,                0.48425,                 2.1341,                0.68202,                 1.3392,               0.009703,               0.009703,               0.009703
                     11,                 2.2993,                 0.7111,                 1.3374,                0.94263,                0.91891,                0.96173,                0.50093,                 2.0071,                0.65924,                 1.3235,                0.00967,                0.00967,                0.00967
                     12,                  2.272,                0.70407,                 1.3361,                0.94376,                0.92152,                0.96543,                0.50164,                 2.0035,                0.65559,                 1.3159,               0.009637,               0.009637,               0.009637
                     13,                 2.2565,                0.69735,                 1.3237,                0.93876,                0.92055,                0.96295,                0.49217,                 2.0781,                0.66326,                 1.3198,               0.009604,               0.009604,               0.009604
                     14,                 2.2591,                0.69312,                 1.3305,                0.94139,                0.92314,                0.96381,                0.48025,                 2.1728,                0.66421,                 1.3335,               0.009571,               0.009571,               0.009571
                     15,                 2.2428,                0.68303,                 1.3207,                0.93718,                 0.9266,                0.96555,                0.48376,                 2.1516,                0.65987,                 1.3301,               0.009538,               0.009538,               0.009538
                     16,                 2.2477,                0.67962,                 1.3141,                0.94351,                0.92207,                0.96447,                 0.4884,                 2.1439,                0.65106,                 1.3285,               0.009505,               0.009505,               0.009505
                     17,                 2.2278,                0.67226,                 1.3116,                0.94742,                0.92132,                0.96597,                0.49916,                  2.083,                0.64707,                 1.3164,               0.009472,               0.009472,               0.009472
